,name,medal_type,count
412,DAVIS Tamari,Gold Medal,1
413,DAVIS-WOODHALL Tara,Gold Medal,1
414,DAVTYAN Artur,Silver Medal,1
415,DAWSON Erica,Bronze Medal,1
416,DAWSON Jacob,Gold Medal,1
417,DEADMON Bryce,Gold Medal,1
418,DEADMON Bryce,Silver Medal,1
419,DEAN Clark,Bronze Medal,1
420,DEAN Tom,Gold Medal,1
421,DEDOVIC Nikola,Gold Medal,1
422,DEFALCO Torey,Bronze Medal,1
423,DEFAY Johanne,Bronze Medal,1
424,DEGUCHI Christa,Gold Medal,1
425,DELESTRE Simon,Bronze Medal,1
426,DENG Lijuan,Silver Medal,1
427,DENG Yawen,Gold Medal,1
428,DENNY Matthew,Bronze Medal,1
429,DENT Abby,Silver Medal,1
430,DEPLANO Leonardo,Bronze Medal,1
431,DERRON Julie,Silver Medal,1
432,DIAZ FORTUN Jordan Alejandro,Gold Medal,1
433,DIAZ HERNANDEZ Andy,Bronze Medal,1
434,DIAZ de ARMAS Zoe,Bronze Medal,1
435,DICKE Pien,Gold Medal,1
436,DICKINSON Samuel,Bronze Medal,1
437,DICKO Romane,Bronze Medal,1
438,DICKO Romane,Gold Medal,1
439,DIEHM Natalya,Bronze Medal,1
440,DIESSE Aurelien,Gold Medal,1
441,DIGBY Tom,Gold Medal,1
442,DIKEC Yusuf,Silver Medal,1
443,DING Xinyi,Gold Medal,1
444,DIOUF Andy,Silver Medal,1
445,DJALO Alpha Oumar,Gold Medal,1
446,DJANKEU NGAMBA Cindy Winner,Bronze Medal,1
447,DJOKOVIC Novak,Gold Medal,1
448,DJURAEV Akbar,Silver Medal,1
449,DO Gyeongdong,Gold Medal,1
450,DOBRIC Ognjen,Bronze Medal,1
451,DOBSON Charles,Bronze Medal,1
452,DODD Chase William,Bronze Medal,1
453,DODD Ryder,Bronze Medal,1
454,DOLGOPYAT Artem,Silver Medal,1
455,DOMINGUEZ Diego,Bronze Medal,1
456,DONNELLY Samantha,Silver Medal,1
457,DOORSOUN Sara,Bronze Medal,1
458,DOSTAL Josef,Gold Medal,1
459,DOUE Desire,Silver Medal,1
460,DOUGLASS Kate,Gold Medal,2
461,DOUGLASS Kate,Silver Medal,2
462,DOYLE Lauren,Bronze Medal,1
463,DOYLE Phili,Bronze Medal,1
464,DRASOVIC Radomir,Gold Medal,1
465,DRENTH Hermijntje,Gold Medal,1
466,DRESSEL Caeleb,Gold Medal,2
